English Name,Translated Name,Description
Swanna Wings (Female),Swanna Wings (Female),Swanna Wings (Female)
Magma Stone,Magma Stone,It is a red stone that was created long ago when boulders melted together in hot magma, then hardened into one stone. Remains of the magma is sealed inside the stone.
Basic Game Pass (Summer 2021 V3),Basic Game Pass (Summer 2021 V3),Basic Game Pass
Premium Game Pass (Summer 2021 V3),Premium Game Pass (Summer 2021 V3),Premium Game Pass
Swanna Surf Mount,Swanna Surf Mount,Swanna Surf Mount Mount
Autumn Leafeon Mount,Autumn Leafeon Mount,Autumn Leafeon Mount
Umbreon Mood Pack,Umbreon Mood Pack,Umbreon Mood Pack.
Serena Hat,Serena Hat,Serena Hat
Serena Hair,Serena Hair,Serena Hair
Serena Jacket,Serena Jacket,Serena Jacket
Serena Top,Serena Top,Serena Top
Serena Skirt,Serena Skirt,Serena Skirt
Serena Shoes,Serena Shoes,Serena Shoes
Alain Scarf,Alain Scarf,Alain Hat
Alain Hair,Alain Hair,Alain Hair
Alain Jacket,Alain Jacket,Alain Jacket
Alain Top,Alain Top,Alain Top
Alain Shoes,Alain Shoes,Alain Shoes
Alain Pants,Alain Pants,Alain Pants
Alain Costume Bundle,Alain Costume Bundle,Contains Alain costume (Male Only)
Serena Costume Bundle,Serena Costume Bundle,Contains Serena costume (Female Only)
Venusaur Mount,Venusaur Mount,Venusaur Mount
Mega Venusaur Mount,Mega Venusaur Mount,Mega Venusaur Mount
Venusaur Mount (Shiny),Venusaur Mount (Shiny),Venusaur Mount (Shiny)
Mega Venusaur Mount (Shiny),Mega Venusaur Mount (Shiny),Mega Venusaur Mount (Shiny)
Venusaur Mount Chest,Venusaur Mount Chest,Chest which can generate either a Venusaur (90%) or Shiny Venusaur (10%) Land mount.
Mega Venusaur Mount Chest,Mega Venusaur Mount Chest,Chest which can generate either a Mega Venusaur (90%) or Mega Shiny Venusaur (10%) Land mount.
Metagross Mount,Metagross Mount,Metagross Mount
Metagross Mount (Shiny),Metagross Mount (Shiny),Metagross Mount (Shiny)
Metagross Mount Chest,Metagross Mount Chest,Chest which can generate either a Metagross (90%) or Shiny Metagross (10%) Land mount.
Autumn Leafeon Tail,Autumn Leafeon Tail,Autumn Leafeon Tail
Seedot Mask,Seedot Mask,Seedot Mask
Autumn Leafeon Ears,Autumn Leafeon Ears,Autumn Leafeon Ears
Bulbasaur Mood Pack,Bulbasaur Mood Pack,Bulbasaur Mood Pack.
Skarmory Chest,Skarmory Chest,A chest containing Skarmory. Remember to carry a pokemon before opening one.
Axew Chest,Axew Chest,A chest containing Axew. Remember to carry a pokemon before opening one.
Hatenna Chest,Hatenna Chest,A chest containing Hatenna. Remember to carry a pokemon before opening one.
Pokemon3 Chest,Pokemon3 Chest,A chest containing Pokemon3. Remember to carry a pokemon before opening one.
Pokemon4 Chest,Pokemon4 Chest,A chest containing Pokemon4. Remember to carry a pokemon before opening one.
Zapdos Mount,Zapdos Mount,Zapdos Mount
Zapdos Mount (Shiny),Zapdos Mount (Shiny),Zapdos Mount (Shiny)
Zapdos Mount Chest,Zapdos Mount Chest,Chest which can generate either a Zapdos (90%) or Shiny Zapdos (10%) Land mount.
Moltres Mount,Moltres Mount,Moltres Mount
Moltres Mount (Shiny),Moltres Mount (Shiny),Moltres Mount (Shiny)
Moltres Mount Chest,Moltres Mount Chest,Chest which can generate either a Moltres (90%) or Shiny Moltres (10%) Land mount.
Articuno Mount,Articuno Mount,Articuno Mount
Articuno Mount (Shiny),Articuno Mount (Shiny),Articuno Mount (Shiny)
Articuno Mount Chest,Articuno Mount Chest,Chest which can generate either a Articuno (90%) or Shiny Articuno (10%) Land mount.
Battle Frontier Ticket,Battle Frontier Ticket,Battle Frontier Ticket (Snow Point Port)
Basic Game Pass (Autumn 2021),Basic Game Pass (Autumn 2021),Basic Game Pass
Premium Game Pass (Autumn 2021),Premium Game Pass (Autumn 2021),Premium Game Pass
Safety Goggles,Safety Goggles,An item to be held by a Pokémon. These goggles protect the holder from both weather-related damage and powder.
Dark Metagross Mount,Dark Metagross Mount,Dark Metagross Mount
Salamence Mount (Shadow),Salamence Mount (Shadow),Salamence Mount (Shadow)
Sawsbuck Mount,Sawsbuck Mount,Sawsbuck Mount
Sawsbuck Mount (Shiny),Sawsbuck Mount (Shiny),Sawsbuck Mount (Shiny)
Sawsbuck Mount Chest,Sawsbuck Mount Chest,Chest which can generate either a Sawsbuck (90%) or Shiny Sawsbuck (10%) Land mount.
Heavy Backpack (Male),Heavy Backpack (Male),Heavy Backpack (Male)
Heavy Backpack (Female),Heavy Backpack (Female),Heavy Backpack (Female)
Autumn Cape (Male),Autumn Cape (Male),Autumn Cape (Male)
Autumn Cape (Female),Autumn Cape (Female),Autumn Cape (Female)
Basic Game Pass (Autumn 2021 V2),Basic Game Pass (Autumn 2021 V2),Basic Game Pass
Premium Game Pass (Autumn 2021 V2),Premium Game Pass (Autumn 2021 V2),Premium Game Pass
Basic Game Pass (Halloween 2021),Basic Game Pass (Halloween 2021),Basic Game Pass
Premium Game Pass (Halloween 2021),Premium Game Pass (Halloween 2021),Premium Game Pass
Ladder Master Box,Ladder Master Box,A box which spawns the current ladder's monthly rank based top reward Pokemon. Remember to carry a pokemon before opening one.
Ladder Master Box V1,Ladder Master Box V1,A box which spawns the current ladder's monthly rank based top reward Pokemon. Remember to carry a pokemon before opening one.
Ladder Master Box V2,Ladder Master Box V2,A box which spawns the current ladder's monthly rank based top reward Pokemon. Remember to carry a pokemon before opening one.
Ladder Weekly Master Box,Ladder Weekly Master Box,A box which spawns the current ladder's weekly rank based top reward Pokemon. Remember to carry a pokemon before opening one.
Ladder Monthly Reward Box,Ladder Monthly Reward Box,A box which spawns the current ladder's monthly reward Pokemon. Remember to carry a pokemon before opening one.
100 Donator Gem Box,100 Donator Gem Box,A box which when opened adds 100 Pokemon Blaze Online Donator Gems to your account.
250 Donator Gem Box,250 Donator Gem Box,A box which when opened adds 250 Pokemon Blaze Online Donator Gems to your account.
500 Donator Gem Box,500 Donator Gem Box,A box which when opened adds 500 Pokemon Blaze Online Donator Gems to your account.
750 Donator Gem Box,750 Donator Gem Box,A box which when opened adds 750 Pokemon Blaze Online Donator Gems to your account.
1000 Donator Gem Box,1000 Donator Gem Box,A box which when opened adds 1000 Pokemon Blaze Online Donator Gems to your account.
Ferroseed Chest,Ferroseed Chest,A chest which spawns and starts a wild battle with Ferroseed.
Terrakion Chest,Terrakion Chest,A chest which spawns and starts a wild battle with Terrakion.
Virizion Chest,Virizion Chest,A chest which spawns and starts a wild battle with Virizion.
Cobalion Chest,Cobalion Chest,A chest which spawns and starts a wild battle with Cobalion.
Alistor Mask,Alistor Mask,Alistor Mask
Alistor Mask (With Eyes),Alistor Mask (With Eyes),Alistor Mask (With Eyes)
Cat Headphones,Cat Headphones,Cat Headphones
Duskull Overhead (Shiny),Duskull Overhead (Shiny),Duskull Overhead (Shiny)
Duskull Overhead,Duskull Overhead,Duskull Overhead
Gastly Overhead (Shiny),Gastly Overhead (Shiny),Gastly Overhead (Shiny)
Gastly Overhead,Gastly Overhead,Gastly Overhead
Guy Fawks Mask,Guy Fawks Mask,Guy Fawks Mask
Knife In Head,Knife In Head,Knife In Head
Umbreon Ears,Umbreon Ears,Umbreon Ears
Cannibal Bunny Mask,Cannibal Bunny Mask,Cannibal Bunny Mask
Dark Robe (Male),Dark Robe (Male),Dark Robe (Male)
Skull Backpack (Male),Skull Backpack (Male),Skull Backpack (Male)
Dark Robe (Female),Dark Robe (Female),Dark Robe (Female)
Skull Backpack (Female),Skull Backpack (Female),Skull Backpack (Female)
Eevee Costume Hood,Eevee Costume Hood,Eevee Costume Hood
Eevee Costume Top (Male),Eevee Costume Top (Male),Eevee Costume Top (Male)
Eevee Costume Shoes (Male),Eevee Costume Shoes (Male),Eevee Costume Shoes (Male)
Eevee Costume Pants (Male),Eevee Costume Pants (Male),Eevee Costume Pants (Male)
Eevee Costume Tail (Male),Eevee Costume Tail (Male),Eevee Costume Tail (Male)
Eevee Costume Top (Female),Eevee Costume Top (Female),Eevee Costume Top (Female)
Eevee Costume Shoes (Female),Eevee Costume Shoes (Female),Eevee Costume Shoes (Female)
Eevee Costume Pants (Female),Eevee Costume Pants (Female),Eevee Costume Pants (Female)
Eevee Costume Tail (Female),Eevee Costume Tail (Female),Eevee Costume Tail (Female)
Gengar Costume Hood,Gengar Costume Hood,Gengar Costume Hood
Gengar Costume Top (Male),Gengar Costume Top (Male),Gengar Costume Top (Male)
Gengar Costume Shoes (Male),Gengar Costume Shoes (Male),Gengar Costume Shoes (Male)
Gengar Costume Pants (Male),Gengar Costume Pants (Male),Gengar Costume Pants (Male)
Gengar Costume Tail (Male),Gengar Costume Tail (Male),Gengar Costume Tail (Male)
Gengar Costume Top (Female),Gengar Costume Top (Female),Gengar Costume Top (Female)
Gengar Costume Shoes (Female),Gengar Costume Shoes (Female),Gengar Costume Shoes (Female)
Gengar Costume Pants (Female),Gengar Costume Pants (Female),Gengar Costume Pants (Female)
Gengar Costume Tail (Female),Gengar Costume Tail (Female),Gengar Costume Tail (Female)
Pikachu Costume Hood,Pikachu Costume Hood,Pikachu Costume Hood
Pikachu Costume Top (Male),Pikachu Costume Top (Male),Pikachu Costume Top (Male)
Pikachu Costume Shoes (Male),Pikachu Costume Shoes (Male),Pikachu Costume Shoes (Male)
Pikachu Costume Pants (Male),Pikachu Costume Pants (Male),Pikachu Costume Pants (Male)
Pikachu Costume Tail (Male),Pikachu Costume Tail (Male),Pikachu Costume Tail (Male)
Pikachu Costume Top (Female),Pikachu Costume Top (Female),Pikachu Costume Top (Female)
Pikachu Costume Shoes (Female),Pikachu Costume Shoes (Female),Pikachu Costume Shoes (Female)
Pikachu Costume Pants (Female),Pikachu Costume Pants (Female),Pikachu Costume Pants (Female)
Pikachu Costume Tail (Female),Pikachu Costume Tail (Female),Pikachu Costume Tail (Female)
Eevee Costume Bundle (Male),Eevee Costume Bundle (Male),Contains Eevee costume (Male Only)
Gengar Costume Bundle (Male),Gengar Costume Bundle (Male),Contains Gengar costume (Male Only)
Pikachu Costume Bundle (Male),Pikachu Costume Bundle (Male),Contains Pikachu costume (Male Only)
Eevee Costume Bundle (Female),Eevee Costume Bundle (Female),Contains Eevee costume (Female Only)
Gengar Costume Bundle (Female),Gengar Costume Bundle (Female),Contains Gengar costume (Female Only)
Pikachu Costume Bundle (Female),Pikachu Costume Bundle (Female),Contains Pikachu costume (Female Only)
Swinub Chest,Swinub Chest,A chest which spawns and starts a wild battle with Swinub.
Ralts Chest,Ralts Chest,A chest which spawns and starts a wild battle with Ralts.
Mew Chest,Mew Chest,A chest which spawns and starts a wild battle with Mew.
Eevee Chest,Eevee Chest,A chest which spawns and starts a wild battle with Eevee.
Loyalty Store Pokemon Chest,Loyalty Store Pokemon Chest,A chest which spawns and starts a wild battle with loyalty store monthly pokemon.
Pumpkin Mask 2021,Pumpkin Mask 2021,Halloween Pumpkin mask 2021 edition.
Akku Mask,Akku Mask,The Great Akku mask from samurai jack.
Hoopa Mask,Hoopa Mask,Hoopa Mask
Mismagius Hat,Mismagius Hat,Mismagius Hat
Soul Reaper Sword (Benkai),Soul Reaper Sword (Benkai),Soul Reaper Sword (Benkai)
Yveltal Wings (Male),Yveltal Wings (Male),Yveltal Wings (Male)
Yveltal Wings (Female),Yveltal Wings (Female),Yveltal Wings (Female)
Angel Hair,Angel Hair,Angel Hair
Angel Halo,Angel Halo,Angel Halo
Angel Pants (Male),Angel Pants (Male),Angel Pants (Male)
Angel Top (Male),Angel Top (Male),Angel Top (Male)
Angel Shoes (Male),Angel Shoes (Male),Angel Shoes (Male)
Angel Wings (Male),Angel Wings (Male),Angel Wings (Male)
Angel Gloves (Male),Angel Gloves (Male),Angel Gloves (Male)
Angel Hair,Angel Hair,Angel Hair
Angel Shoes (Female),Angel Shoes (Female),Angel Shoes (Female)
Angel Skirt (Female),Angel Skirt (Female),Angel Skirt (Female)
Angel Top (Female),Angel Top (Female),Angel Top (Female)
Angel Wings (Female),Angel Wings (Female),Angel Wings (Female)
Angel Gloves (Female),Angel Gloves (Female),Angel Gloves (Female)
Dementor Hood,Dementor Hood,Dementor Hood
Dementor Jacket,Dementor Jacket,Dementor Jacket
Dementor Mask,Dementor Mask,Dementor Mask
Dementor Pants (Male),Dementor Pants (Male),Dementor Pants (Male)
Dementor Shoes (Male),Dementor Shoes (Male),Dementor Shoes (Male)
Dementor Pants (Female),Dementor Pants (Female),Dementor Pants (Female)
Dementor Shoes (Female),Dementor Shoes (Female),Dementor Shoes (Female)
Harley Quinn Gloves (Female),Harley Quinn Gloves (Female),Harley Quinn Gloves (Female)
Harley Quinn Hair,Harley Quinn Hair,Harley Quinn Hair
Harley Quinn Top (Female),Harley Quinn Top (Female),Harley Quinn Top (Female)
Harley Quinn Mask,Harley Quinn Mask,Harley Quinn Mask
Harley Quinn Stockings without skirt (Female),Harley Quinn Stockings without skirt (Female),Harley Quinn Stockings without skirt (Female)
Harley Quinn Stockings (Female),Harley Quinn Stockings (Female),Harley Quinn Stockings (Female)
Harley Quinn Shoes (Female),Harley Quinn Shoes (Female),Harley Quinn Shoes (Female)
Joker Tie (Male),Joker Tie (Male),Joker Tie (Male)
Joker Gun (Male),Joker Gun (Male),Joker Gun (Male)
Joker Hair,Joker Hair,Joker Hair
Joker Jacket,Joker Jacket,Joker Jacket
Joker Mask,Joker Mask,Joker Mask
Joker Pants (Male),Joker Pants (Male),Joker Pants (Male)
Joker Top (Male),Joker Top (Male),Joker Top (Male)
Joker Shoes (Male),Joker Shoes (Male),Joker Shoes (Male)
OogieBoogie Mask,OogieBoogie Mask,OogieBoogie Mask
OogieBoogie Pants,OogieBoogie Pants,OogieBoogie Pants (Male)
OogieBoogie Top,OogieBoogie Top,OogieBoogie Top (Male)
OogieBoogie Shoes,OogieBoogie Shoes,OogieBoogie Shoes (Male)
Skeleton Gloves (Male),Skeleton Gloves (Male),Skeleton Gloves (Male)
Skeleton Mask,Skeleton Mask,Skeleton Mask
Skeleton Pants (Male),Skeleton Pants (Male),Skeleton Pants (Male)
Skeleton Top (Male),Skeleton Top (Male),Skeleton Top (Male)
Skeleton Shoes (Male),Skeleton Shoes (Male),Skeleton Shoes (Male)
Skeleton Scythe (Male),Skeleton Scythe (Male),Skeleton Scythe (Male)
Skeleton Gloves (Female),Skeleton Gloves (Female),Skeleton Gloves (Female)
Skeleton Pants (Female),Skeleton Pants (Female),Skeleton Pants (Female)
Skeleton Top (Female),Skeleton Top (Female),Skeleton Top (Female)
Skeleton Shoes (Female),Skeleton Shoes (Female),Skeleton Shoes (Female)
Skeleton Scythe (Female),Skeleton Scythe (Female),Skeleton Scythe (Female)
Stitch Mask,Stitch Mask,Stitch Mask
Stitch Pants,Stitch Pants,Stitch Pants
Stitch Top,Stitch Top,Stitch Top
Stitch Shoes,Stitch Shoes,Stitch Shoes
Vampire Cape (Male),Vampire Cape (Male),Vampire Cape (Male)
Vampire Hair,Vampire Hair,Vampire Hair
Vampire Mask (Male),Vampire Mask (Male),Vampire Mask
Vampire Pants (Male),Vampire Pants (Male),Vampire Pants (Male)
Vampire Top (Male),Vampire Top (Male),Vampire Top (Male)
Vampire Shoes (Male),Vampire Shoes (Male),Vampire Shoes (Male)
Vampire Cape (Female),Vampire Cape (Female),Vampire Cape (Female)
Vampire Hair,Vampire Hair,Vampire Hair
Vampire Mask (Female),Vampire Mask (Female),Vampire Mask (Female)
Vampire Pants (Female),Vampire Pants (Female),Vampire Pants (Female)
Vampire Shoes (Female),Vampire Shoes (Female),Vampire Shoes (Female)
Vampire Top (Female),Vampire Top (Female),Vampire Top (Female)
Witch Glasses,Witch Glasses,Witch Glasses
Witch Hair,Witch Hair,Witch Hair
Witch Hat,Witch Hat,Witch Hat
Witch Jacket (Female),Witch Jacket (Female),Witch Jacket (Female)
Witch Shoes (Female),Witch Shoes (Female),Witch Shoes (Female)
Witch Skirt (Female),Witch Skirt (Female),Witch Skirt (Female)
Witch Top (Female),Witch Top (Female),Witch Top (Female)
Wizard Beard (Male),Wizard Beard (Male),Wizard Beard (Male)
Wizard Glasses,Wizard Glasses,Wizard Glasses
Wizard Hair,Wizard Hair,Wizard Hair
Wizard Hat,Wizard Hat,Wizard Hat
Wizard Jacket (Male),Wizard Jacket (Male),Wizard Jacket
Wizard Pants (Male),Wizard Pants (Male),Wizard Pants (Male)
Wizard Top (Male),Wizard Top (Male),Wizard Top (Male)
Wizard Shoes (Male),Wizard Shoes (Male),Wizard Shoes (Male)
Zombie Pirate Eyepatch (Male),Zombie Pirate Eyepatch (Male),Zombie Pirate Eyepatch
Zombie Pirate Mask with hair,Zombie Pirate Mask with hair,Zombie Pirate Hair
Zombie Pirate Hat,Zombie Pirate Hat,Zombie Pirate Hat
Zombie Pirate Jacket (Male),Zombie Pirate Jacket (Male),Zombie Pirate Jacket (Male)
Zombie Pirate Mask,Zombie Pirate Mask,Zombie Pirate Hair
Zombie Pirate Pants (Male),Zombie Pirate Pants (Male),Zombie Pirate Pants (Male)
Zombie Pirate Top (Male),Zombie Pirate Top (Male),Zombie Pirate Top (Male)
Zombie Pirate Shoes (Male),Zombie Pirate Shoes (Male),Zombie Pirate Shoes (Male)
Zombie Pirate Hook (Male),Zombie Pirate Hook (Male),Zombie Pirate Hook (Male)
Zombie Pirate Eyepatch (Female),Zombie Pirate Eyepatch (Female),Zombie Pirate Eyepatch
Zombie Pirate Hook (Female),Zombie Pirate Hook (Female),Zombie Pirate Hook (Female)
Zombie Pirate Mask with hair,Zombie Pirate Mask with hair,Zombie Pirate Hair
Zombie Pirate Rag,Zombie Pirate Rag,Zombie Pirate Rag
Zombie Pirate Mask,Zombie Pirate Mask,Zombie Pirate Hair
Zombie Pirate Shoes (Female),Zombie Pirate Shoes (Female),Zombie Pirate Shoes (Female)
Zombie Pirate Skirt (Female),Zombie Pirate Skirt (Female),Zombie Pirate Skirt (Female)
Zombie Pirate Top (Female),Zombie Pirate Top (Female),Zombie Pirate Top (Female)
Devil Mask with hair,Devil Mask with hair,Devil Hair
Devil Horns,Devil Horns,Devil Horns
Devil Pants (Male),Devil Pants (Male),Devil Pants (Male)
Devil Mask,Devil Mask,Devil Hair
Devil Top (Male),Devil Top (Male),Devil Top (Male)
Devil Wings (Male),Devil Wings (Male),Devil Wings (Male)
Devil Shoes (Male),Devil Shoes (Male),Devil Shoes (Male)
Devil Gloves (Female),Devil Gloves (Female),Devil Gloves (Female)
Devil Hair,Devil Hair,Devil Hair
Devil Horns (Female),Devil Horns (Female),Devil Horns (Female)
Devil Mask (Female),Devil Mask (Female),Devil Mask (Female)
Devil Shoes (Female),Devil Shoes (Female),Devil Shoes (Female)
Devil Skirt (Female),Devil Skirt (Female),Devil Skirt (Female)
Devil Top (Female),Devil Top (Female),Devil Top (Female)
Devil Wings (Female),Devil Wings (Female),Devil Wings (Female)
Misty Hair,Misty Hair,Misty Mask
Misty Pants,Misty Pants,Misty Pants
Misty Top,Misty Top,Misty Top
Misty Shoes,Misty Shoes,Misty Shoes
Marnie Bag (Female),Marnie Bag (Female),Marnie Bag (Female)
Marnie Hair,Marnie Hair,Marnie Hair
Marnie Jacket (Female),Marnie Jacket (Female),Marnie Jacket (Female)
Marnie Mask (Female),Marnie Mask (Female),Marnie Mask (Female)
Marnie Shoes (Female),Marnie Shoes (Female),Marnie Shoes (Female)
Marnie Skirt (Female),Marnie Skirt (Female),Marnie Skirt (Female)
Marnie Top (Female),Marnie Top (Female),Marnie Top (Female)
Mimikyu Hood,Mimikyu Hood,Mimikyu Hood
Mimikyu Pants,Mimikyu Pants,Mimikyu Pants
Mimikyu Top,Mimikyu Top,Mimikyu Top
Mimikyu Shoes,Mimikyu Shoes,Mimikyu Shoes
Mimikyu Tail ,Mimikyu Tail ,Mimikyu Tail
Mummy Armlets (Male),Mummy Armlets (Male),Mummy Armlets (Male)
Mummy Hat,Mummy Hat,Mummy Hat
Mummy Mask,Mummy Mask,Mummy Mask
Mummy Pants (Male),Mummy Pants (Male),Mummy Pants (Male)
Mummy Shoes (Male),Mummy Shoes (Male),Mummy Shoes (Male)
Mummy Top (Male),Mummy Top (Male),Mummy Top (Male)
Mummy Crown,Mummy Crown,Mummy Crown
Mummy Armlets (Female),Mummy Armlets (Female),Mummy Armlets (Female)
Mummy Hair,Mummy Hair,Mummy Hair
Mummy Makeup,Mummy Makeup,Mummy Makeup
Mummy Top (Female),Mummy Top (Female),Mummy Top (Female)
Mummy Shoes (Female),Mummy Shoes (Female),Mummy Shoes (Female)
Mummy Skirt (Female),Mummy Skirt (Female),Mummy Skirt (Female)
Piers Hair,Piers Hair,Piers Hair
Piers Jacket (Male),Piers Jacket (Male),Piers Jacket (Male)
Piers Pants (Male),Piers Pants (Male),Piers Pants (Male)
Piers Shoes (Male),Piers Shoes (Male),Piers Shoes (Male)
Piers Top (Male),Piers Top (Male),Piers Top (Male)
Banette Hood,Banette Hood,Banette Hood
Banette Mask,Banette Mask,Banette Mask
Banette Pants,Banette Pants,Banette Pants
Banette Shoes,Banette Shoes,Banette Shoes
Banette Top,Banette Top,Banette Top
Angel Costume Bundle (Male),Angel Costume Bundle (Male),Contains Angel costume (Male Only)
Angel Costume Bundle (Female),Angel Costume Bundle (Female),Contains Angel costume (Female Only)
Dementor Costume Bundle (Male),Dementor Costume Bundle (Male),Contains Dementor costume (Male Only)
Dementor Costume Bundle (Female),Dementor Costume Bundle (Female),Contains Dementor costume (Female Only)
Harley Quinn Costume Bundle (Female),Harley Quinn Costume Bundle (Female),Contains Harley Quinn costume (Female Only)
Joker Costume Bundle (Male),Joker Costume Bundle (Male),Contains Joker costume (Male Only)
OogieBoogie Costume Bundle,OogieBoogie Costume Bundle,Contains OogieBoogie costume
Skeleton Costume Bundle (Male),Skeleton Costume Bundle (Male),Contains Skeleton costume (Male Only)
Skeleton Costume Bundle (Female),Skeleton Costume Bundle (Female),Contains Skeleton costume (Female Only)
Stitch Costume Bundle,Stitch Costume Bundle,Contains Stitch costume
Vampire Costume Bundle (Male),Vampire Costume Bundle (Male),Contains Vampire costume (Male Only)
Vampire Costume Bundle (Female),Vampire Costume Bundle (Female),Contains Vampire costume (Female Only)
Wizard Costume Bundle (Male),Wizard Costume Bundle (Male),Contains Wizard costume (Male Only)
Witch Costume Bundle (Female),Witch Costume Bundle (Female),Contains Witch costume (Female Only)
Zombie Pirate Costume Bundle (Male),Zombie Pirate Costume Bundle (Male),Contains Zombie Pirate costume (Male Only)
Zombie Pirate Costume Bundle (Female),Zombie Pirate Costume Bundle (Female),Contains Zombie Pirate costume (Female Only)
Devil Costume Bundle (Male),Devil Costume Bundle (Male),Contains Devil costume (Male Only)
Devil Costume Bundle (Female),Devil Costume Bundle (Female),Contains Devil costume (Female Only)
Misty Costume Bundle (Female),Misty Costume Bundle (Female),Contains Misty costume (Female Only)
Marnie Costume Bundle (Female),Marnie Costume Bundle (Female),Contains Marnie costume (Female Only)
Mimikyu Costume Bundle,Mimikyu Costume Bundle,Contains Mimikyu costume
Mummy Costume Bundle (Male),Mummy Costume Bundle (Male),Contains Mummy costume (Male Only)
Mummy Costume Bundle (Female),Mummy Costume Bundle (Female),Contains Mummy costume (Female Only)
Piers Costume Bundle (Male),Piers Costume Bundle (Male),Contains Piers costume (Male Only)
Banette Costume Bundle,Banette Costume Bundle,Contains Banette costume
Wizard Hat (Red),Wizard Hat (Red),Wizard Hat (Red)
Wizard Hat (Black),Wizard Hat (Black),Wizard Hat (Black)
Wizard Hat (Orange),Wizard Hat (Orange),Wizard Hat (Orange)
Wizard Hat (Green),Wizard Hat (Green),Wizard Hat (Green)
Wizard Hat (Pink),Wizard Hat (Pink),Wizard Hat (Pink)
Witch Hat (Red),Witch Hat (Red),Witch Hat (Red)
Witch Hat (Black),Witch Hat (Black),Witch Hat (Black)
Witch Hat (Orange),Witch Hat (Orange),Witch Hat (Orange)
Witch Hat (Green),Witch Hat (Green),Witch Hat (Green)
Witch Hat (Pink),Witch Hat (Pink),Witch Hat (Pink)
Halloween Hat Box (Male),Halloween Hat Box (Male),Box which gives you a random colored wizard hat.
Halloween Hat Box (Female),Halloween Hat Box (Female),Box which gives you a random colored witch hat.
Spiritomb Chest,Spiritomb Chest,A box which spawns Spiritomb.
Infected Absol Mount (Halloween 2021),Infected Absol Mount (Halloween 2021),Infected Absol Mount exclusive to halloween 2021.
Mutated Houndoom Mount (Halloween 2021),Mutated Houndoom Mount (Halloween 2021),Mutated Houndoom Mount exclusive to halloween 2021.
Zombie Charizard Mount (Halloween 2021),Zombie Charizard Mount (Halloween 2021),Zombie Charizard Mount exclusive to halloween 2021.
Devil Garchomp Mount (Halloween 2021),Devil Garchomp Mount (Halloween 2021),Devil Garchomp Mount exclusive to halloween 2021.
Ghostly Umbreon Mount (Halloween 2021),Ghostly Umbreon Mount (Halloween 2021),Ghostly Umbreon Mount exclusive to halloween 2021.
Halloween Hat Box,Halloween Hat Box,Box which gives you a random colored wizard hat.
Cracked Pot,Cracked Pot,This item evolves Sinistea into Polteageist
Chipped Pot,Chipped Pot,This item evolves Sinistea into Polteageist-Antique.
Giratina Wings (Female),Giratina Wings (Female),Giratina Wings (Female)
Giratina Wings (Male),Giratina Wings (Male),Giratina Wings (Male)
Christmas Wings (Male),Christmas Wings (Male),Christmas Wings (Male)
Christmas Wings (Female),Christmas Wings (Female),Christmas Wings (Female)
Male Santa Hat,Male Santa Hat,Male Santa Hat
Male Santa Glasses,Male Santa Glasses,Male Santa Glasses
Male Santa Beard (Male),Male Santa Beard (Male),Male Santa Beard (Male)
Male Santa Hair,Male Santa Hair,Male Santa Hair
Male Santa Top (Male),Male Santa Top (Male),Male Santa Top (Male)
Male Santa Pants (Male),Male Santa Pants (Male),Male Santa Pants (Male)
Male Santa Shoes (Male),Male Santa Shoes (Male),Male Santa Shoes (Male)
Female Santa Hat,Female Santa Hat,Female Santa Hat
Female Santa Glasses,Female Santa Glasses,Female Santa Glasses
Female Santa Hair,Female Santa Hair,Female Santa Hair
Female Santa Top (Female),Female Santa Top (Female),Female Santa Top (Female)
Female Santa Pants (Female),Female Santa Pants (Female),Female Santa Pants (Female)
Female Santa Shoes (Female),Female Santa Shoes (Female),Female Santa Shoes (Female)
Male Nutcracker Moustache (Male),Male Nutcracker Moustache (Male),Male Nutcracker Beard (Male)
Male Nutcracker Hat,Male Nutcracker Hat,Male Nutcracker Hat
Male Nutcracker Hair,Male Nutcracker Hair,Male Nutcracker Hair
Male Nutcracker Top (Male),Male Nutcracker Top (Male),Male Nutcracker Top (Male)
Male Nutcracker Pants (Male),Male Nutcracker Pants (Male),Male Nutcracker Pants (Male)
Male Nutcracker Shoes (Male),Male Nutcracker Shoes (Male),Male Nutcracker Shoes (Male)
Female Nutcracker Hat,Female Nutcracker Hat,Female Nutcracker Hat
Female Nutcracker Hair,Female Nutcracker Hair,Female Nutcracker Hair
Female Nutcracker Liner,Female Nutcracker Liner,Female Nutcracker Liner
Female Nutcracker Jacket (Female),Female Nutcracker Jacket (Female),Piers Jacket (Female)
Female Nutcracker Shoes (Female),Female Nutcracker Shoes (Female),Female Nutcracker Shoes (Female)
Female Nutcracker Pants (Female),Female Nutcracker Pants (Female),Female Nutcracker Pants (Female)
Female Nutcracker Top (Female),Female Nutcracker Top (Female),Female Nutcracker Top (Female)
Stantler (Rudolph) Hood,Stantler (Rudolph) Hood,Stantler (Rudolph) Costume Hood
Stantler (Rudolph) Top,Stantler (Rudolph) Top,Stantler (Rudolph) Costume Top
Stantler (Rudolph) Shoes,Stantler (Rudolph) Shoes,Stantler (Rudolph) Costume Shoes
Stantler (Rudolph) Pants,Stantler (Rudolph) Pants,Stantler (Rudolph) Costume Pants
Stantler (Rudolph) Tail,Stantler (Rudolph) Tail,Stantler (Rudolph) Costume Tail
